@relation wine_features_01_6_0only

@attribute 9 numeric
@attribute 6 numeric
@attribute 11 numeric
@attribute 1 numeric
@attribute 12 numeric
@attribute 0 numeric
@attribute type {1,2,3}

@data
5.64,3.06,3.92,1.71,1065,14.23,1
4.38,2.76,3.4,1.78,1050,13.2,1
5.68,3.24,3.17,2.36,1185,13.16,1
7.8,3.49,3.45,1.95,1480,14.37,1
4.32,2.69,2.93,2.59,735,13.24,1
6.75,3.39,2.85,1.76,1450,14.2,1
5.25,2.52,3.58,1.87,1290,14.39,1
5.05,2.51,3.58,2.15,1295,14.06,1
5.2,2.98,2.85,1.64,1045,14.83,1
7.22,3.15,3.55,1.35,1045,13.86,1
5.75,3.32,3.17,2.16,1510,14.1,1
5,2.43,2.82,1.48,1280,14.12,1
5.6,2.76,2.9,1.73,1320,13.75,1
5.4,3.69,2.73,1.73,1150,14.75,1
7.5,3.64,3,1.87,1547,14.38,1
7.3,2.91,2.88,1.81,1310,13.63,1
6.2,3.14,2.65,1.92,1280,14.3,1
6.6,3.4,2.57,1.57,1130,13.83,1
8.7,3.93,2.82,1.59,1680,14.19,1
5.1,3.03,3.36,3.1,845,13.64,1
5.65,3.17,3.71,1.63,780,14.06,1
4.5,2.41,3.52,3.8,770,12.93,1
3.8,2.88,4,1.86,1035,13.71,1
3.93,2.37,3.63,1.6,1015,12.85,1
3.52,2.61,3.82,1.81,845,13.5,1
3.58,2.68,3.2,2.05,830,13.05,1
4.8,2.94,3.22,1.77,1195,13.39,1
3.95,2.19,2.77,1.72,1285,13.3,1
4.5,2.97,3.4,1.9,915,13.87,1
4.7,2.33,3.59,1.68,1035,14.02,1
5.7,3.25,2.71,1.5,1285,13.73,1
6.9,3.19,2.88,1.66,1515,13.58,1
3.84,2.69,2.87,1.83,990,13.68,1
5.4,2.74,3,1.53,1235,13.76,1
4.2,2.53,2.87,1.8,1095,13.51,1
5.1,2.98,3.47,1.81,920,13.48,1
4.6,2.68,2.78,1.64,880,13.28,1
4.25,2.43,2.51,1.65,1105,13.05,1
3.7,2.64,2.69,1.5,1020,13.07,1
5.1,3.04,3.53,3.99,760,14.22,1
6.13,3.29,3.38,1.71,795,13.56,1
4.28,2.68,3,3.84,1035,13.41,1
5.43,3.56,3.56,1.89,1095,13.88,1
4.36,2.63,3,3.98,680,13.24,1
5.04,3,3.35,1.77,885,13.05,1
5.24,2.65,3.33,4.04,1080,14.21,1
4.9,3.17,3.44,3.59,1065,14.38,1
6.1,3.39,3.33,1.68,985,13.9,1
6.2,2.92,2.75,2.02,1060,14.1,1
8.9,3.54,3.1,1.73,1260,13.94,1
7.2,3.27,2.91,1.73,1150,13.05,1
5.6,2.99,3.37,1.65,1265,13.83,1
7.05,3.74,3.26,1.75,1190,13.82,1
6.3,2.79,2.93,1.9,1375,13.77,1
5.85,2.9,3.2,1.67,1060,13.74,1
6.25,2.78,3.03,1.73,1120,13.56,1
6.38,3,3.31,1.7,970,14.22,1
6,3.23,2.84,1.97,1270,13.29,1
6.8,3.67,2.87,1.43,1285,13.72,1
1.95,0.57,1.82,0.94,520,12.37,2
3.27,1.09,1.67,1.1,680,12.33,2
5.75,1.41,1.59,1.36,450,12.64,2
3.8,1.79,2.46,1.25,630,13.67,2
4.45,3.1,2.87,1.13,420,12.37,2
2.95,1.75,2.23,1.45,355,12.17,2
4.6,2.65,2.3,1.21,678,12.37,2
5.3,3.18,3.18,1.01,502,13.11,2
4.68,2,3.48,1.17,510,12.37,2
3.17,1.3,1.93,0.94,750,13.34,2
2.85,1.28,3.07,1.19,718,12.21,2
3.05,1.02,1.82,1.61,870,12.29,2
3.38,2.86,3.16,1.51,410,13.86,2
3.74,1.84,2.78,1.66,472,13.49,2
3.35,2.89,3.5,1.67,985,12.99,2
3.21,2.14,3.13,1.09,886,11.96,2
3.8,1.57,2.14,1.88,428,11.66,2
4.6,2.03,2.48,0.9,392,13.03,2
2.65,1.32,2.52,2.89,500,11.84,2
3.4,1.85,2.31,0.99,750,12.33,2
2.57,2.55,3.13,3.87,463,12.7,2
2.5,2.26,3.12,0.92,278,12,2
3.9,2.53,3.14,1.81,714,12.72,2
2.2,1.58,2.72,1.13,630,12.08,2
4.8,1.59,2.01,3.86,515,13.05,2
3.05,2.21,3.08,0.89,520,11.84,2
2.62,1.94,3.16,0.98,450,12.67,2
2.45,1.69,2.26,1.61,495,12.16,2
2.6,1.61,3.21,1.67,562,11.65,2
2.8,1.69,2.75,2.06,680,11.64,2
1.74,1.59,3.21,1.33,625,12.08,2
2.4,1.5,2.27,1.83,480,12.08,2
3.6,1.25,2.65,1.51,450,12,2
3.05,1.46,2.06,1.53,495,12.69,2
2.15,2.25,3.3,2.83,290,12.29,2
3.25,2.26,2.96,1.99,345,11.62,2
2.6,2.27,2.63,1.52,937,12.47,2
2.5,0.99,2.26,2.12,625,11.81,2
2.9,2.5,2.74,1.41,428,12.29,2
4.5,3.75,2.77,1.07,660,12.37,2
2.3,2.99,2.83,3.17,406,12.29,2
3.3,2.17,2.96,2.08,710,12.08,2
2.45,1.36,2.77,1.34,562,12.6,2
2.8,2.11,3.38,2.45,438,12.34,2
2.06,1.64,2.44,1.72,415,11.82,2
2.94,1.92,3.57,1.73,672,12.51,2
2.7,1.84,3.3,2.55,315,12.42,2
3.4,2.03,3.17,1.73,510,12.25,2
3.3,1.76,2.42,1.75,488,12.72,2
2.7,2.04,3.02,1.29,312,12.22,2
2.65,2.92,3.26,1.35,680,11.61,2
2.9,2.58,2.81,3.74,562,11.46,2
2,2.27,2.78,2.43,325,12.52,2
3.8,2.03,2.5,2.68,607,11.76,2
3.08,2.01,2.31,0.74,434,11.41,2
2.9,2.29,3.19,1.39,385,12.08,2
1.9,2.17,2.87,1.51,407,11.03,2
1.95,1.6,3.33,1.47,495,11.82,2
2.06,2.09,2.96,1.61,345,12.42,2
3.4,1.25,2.12,3.43,372,12.77,2
1.28,1.64,3.05,3.43,564,12,2
3.25,2.79,3.39,2.4,625,11.45,2
6,5.08,3.69,2.05,465,11.56,2
2.08,2.13,3.12,4.43,365,12.42,2
2.6,2.65,3.1,5.8,380,13.05,2
2.8,3.03,3.64,4.31,380,11.87,2
2.76,2.65,3.28,2.16,378,12.07,2
3.94,3.15,2.84,1.53,352,12.43,2
3,2.24,2.44,2.13,466,11.79,2
2.12,2.45,2.78,1.63,342,12.37,2
2.6,1.75,2.57,4.3,580,12.04,2
4.1,1.25,1.29,1.35,630,12.86,3
5.4,1.22,1.42,2.99,530,12.88,3
5.7,1.09,1.36,2.31,560,12.81,3
5,1.2,1.29,3.55,600,12.7,3
5.45,0.58,1.51,1.24,650,12.51,3
7.1,0.66,1.58,2.46,695,12.6,3
3.85,0.47,1.27,4.72,720,12.25,3
5,0.6,1.69,5.51,515,12.53,3
5.7,0.48,1.82,3.59,580,13.49,3
4.92,0.6,2.15,2.96,590,12.84,3
4.6,0.5,2.31,2.81,600,12.93,3
5.6,0.5,2.47,2.56,780,13.36,3
4.35,0.52,2.06,3.17,520,13.52,3
4.4,0.8,2.05,4.95,550,13.62,3
8.21,0.78,2,3.88,855,12.25,3
4,0.55,1.68,3.57,830,13.16,3
4.9,0.34,1.33,5.04,415,13.88,3
