@relation wine_features_01_6_17

@attribute 2 numeric
@attribute 1 numeric
@attribute 12 numeric
@attribute 8 numeric
@attribute 10 numeric
@attribute 9 numeric
@attribute type {1,2,3}

@data
2.43,1.71,1065,2.29,1.04,5.64,1
2.14,1.78,1050,1.28,1.05,4.38,1
2.67,2.36,1185,2.81,1.03,5.68,1
2.5,1.95,1480,2.18,0.86,7.8,1
2.87,2.59,735,1.82,1.04,4.32,1
2.45,1.76,1450,1.97,1.05,6.75,1
2.45,1.87,1290,1.98,1.02,5.25,1
2.61,2.15,1295,1.25,1.06,5.05,1
2.17,1.64,1045,1.98,1.08,5.2,1
2.27,1.35,1045,1.85,1.01,7.22,1
2.3,2.16,1510,2.38,1.25,5.75,1
2.32,1.48,1280,1.57,1.17,5,1
2.41,1.73,1320,1.81,1.15,5.6,1
2.39,1.73,1150,2.81,1.25,5.4,1
2.38,1.87,1547,2.96,1.2,7.5,1
2.7,1.81,1310,1.46,1.28,7.3,1
2.72,1.92,1280,1.97,1.07,6.2,1
2.62,1.57,1130,1.72,1.13,6.6,1
2.48,1.59,1680,1.86,1.23,8.7,1
2.56,3.1,845,1.66,0.96,5.1,1
2.28,1.63,780,2.1,1.09,5.65,1
2.65,3.8,770,1.98,1.03,4.5,1
2.36,1.86,1035,1.69,1.11,3.8,1
2.52,1.6,1015,1.46,1.09,3.93,1
2.61,1.81,845,1.66,1.12,3.52,1
3.22,2.05,830,1.92,1.13,3.58,1
2.62,1.77,1195,1.45,0.92,4.8,1
2.14,1.72,1285,1.35,1.02,3.95,1
2.8,1.9,915,1.76,1.25,4.5,1
2.21,1.68,1035,1.98,1.04,4.7,1
2.7,1.5,1285,2.38,1.19,5.7,1
2.36,1.66,1515,1.95,1.09,6.9,1
2.36,1.83,990,1.97,1.23,3.84,1
2.7,1.53,1235,1.35,1.25,5.4,1
2.65,1.8,1095,1.54,1.1,4.2,1
2.41,1.81,920,1.86,1.04,5.1,1
2.84,1.64,880,1.36,1.09,4.6,1
2.55,1.65,1105,1.44,1.12,4.25,1
2.1,1.5,1020,1.37,1.18,3.7,1
2.51,3.99,760,2.08,0.89,5.1,1
2.31,1.71,795,2.34,0.95,6.13,1
2.12,3.84,1035,1.48,0.91,4.28,1
2.59,1.89,1095,1.7,0.88,5.43,1
2.29,3.98,680,1.66,0.82,4.36,1
2.1,1.77,885,2.03,0.88,5.04,1
2.44,4.04,1080,1.25,0.87,5.24,1
2.28,3.59,1065,2.19,1.04,4.9,1
2.12,1.68,985,2.14,0.91,6.1,1
2.4,2.02,1060,2.38,1.07,6.2,1
2.27,1.73,1260,2.08,1.12,8.9,1
2.04,1.73,1150,2.91,1.12,7.2,1
2.6,1.65,1265,2.29,1.24,5.6,1
2.42,1.75,1190,1.87,1.01,7.05,1
2.68,1.9,1375,1.68,1.13,6.3,1
2.25,1.67,1060,1.62,0.92,5.85,1
2.46,1.73,1120,2.45,0.98,6.25,1
2.3,1.7,970,2.03,0.94,6.38,1
2.68,1.97,1270,1.66,1.07,6,1
2.5,1.43,1285,2.04,0.89,6.8,1
1.36,0.94,520,0.42,1.05,1.95,2
2.28,1.1,680,0.41,1.25,3.27,2
2.02,1.36,450,0.62,0.98,5.75,2
1.92,1.25,630,0.73,1.23,3.8,2
2.16,1.13,420,1.87,1.22,4.45,2
2.53,1.45,355,1.03,1.45,2.95,2
2.56,1.21,678,2.08,1.19,4.6,2
1.7,1.01,502,2.28,1.12,5.3,2
1.92,1.17,510,1.04,1.12,4.68,2
2.36,0.94,750,0.42,1.02,3.17,2
1.75,1.19,718,2.5,1.28,2.85,2
2.21,1.61,870,1.46,0.906,3.05,2
2.67,1.51,410,1.87,1.36,3.38,2
2.24,1.66,472,1.03,0.98,3.74,2
2.6,1.67,985,1.96,1.31,3.35,2
2.3,1.09,886,1.65,0.99,3.21,2
1.92,1.88,428,1.15,1.23,3.8,2
1.71,0.9,392,1.46,1.19,4.6,2
2.23,2.89,500,0.95,0.96,2.65,2
1.95,0.99,750,2.76,1.06,3.4,2
2.4,3.87,463,1.95,1.19,2.57,2
2,0.92,278,1.43,1.38,2.5,2
2.2,1.81,714,1.77,1.16,3.9,2
2.51,1.13,630,1.4,1.31,2.2,2
2.32,3.86,515,1.62,0.84,4.8,2
2.58,0.89,520,2.35,0.79,3.05,2
2.24,0.98,450,1.46,1.23,2.62,2
2.31,1.61,495,1.56,1.33,2.45,2
2.62,1.67,562,1.34,1.36,2.6,2
2.46,2.06,680,1.35,1,2.8,2
2.3,1.33,625,1.38,1.07,1.74,2
2.32,1.83,480,1.64,1.08,2.4,2
2.42,1.51,450,1.63,1.05,3.6,2
2.26,1.53,495,1.62,0.96,3.05,2
2.22,2.83,290,1.99,1.15,2.15,2
2.28,1.99,345,1.35,1.16,3.25,2
